k1 ; t1 ;         0.00
k1 ; t2 ;        45.00
k1 ; t3 ;        30.00
k1 ; t4 ;        31.25
k1 ; t5 ;        31.25
k1 ; t6 ;        27.50
k1 ; t7 ;        10.00
k1 ; t8 ;        20.00
k2 ; t1 ;         0.00
k2 ; t2 ;         3.33
k2 ; t3 ;        26.67
k2 ; t4 ;        25.00
k2 ; t5 ;        25.00
k2 ; t6 ;        30.00
k2 ; t7 ;        20.00
k2 ; t8 ;        10.00

k1 ; t1 ;         0.00
k1 ; t2 ;         0.00
k1 ; t3 ;         0.00
k1 ; t4 ;        21.25
k1 ; t5 ;        22.50
k1 ; t6 ;         0.00
k1 ; t7 ;         0.00
k1 ; t8 ;         0.00
k2 ; t1 ;         0.00
k2 ; t2 ;         3.33
k2 ; t3 ;         5.00
k2 ; t4 ;         0.00
k2 ; t5 ;         0.00
k2 ; t6 ;         0.00
k2 ; t7 ;         0.00
k2 ; t8 ;         0.00

j1 ; t1 ;         0.00
j1 ; t2 ;         0.00
j1 ; t3 ;         0.00
j1 ; t4 ;         0.00
j1 ; t5 ;         0.00
j1 ; t6 ;         0.00
j1 ; t7 ;         0.00
j1 ; t8 ;         0.00
j2 ; t1 ;        90.00
j2 ; t2 ;       100.00
j2 ; t3 ;       100.00
j2 ; t4 ;       100.00
j2 ; t5 ;       100.00
j2 ; t6 ;         0.00
j2 ; t7 ;        10.00
j2 ; t8 ;         0.00
j3 ; t1 ;         0.00
j3 ; t2 ;        81.67
j3 ; t3 ;        75.00
j3 ; t4 ;        90.00
j3 ; t5 ;        80.00
j3 ; t6 ;        10.00
j3 ; t7 ;         0.00
j3 ; t8 ;         0.00
