j1 ; t1 ;         0.00
j1 ; t2 ;         0.00
j1 ; t3 ;         0.00
j1 ; t4 ;         0.00
j1 ; t5 ;         0.00
j1 ; t6 ;         0.00
j1 ; t7 ;         0.00
j1 ; t8 ;         0.00
j2 ; t1 ;        90.00
j2 ; t2 ;       100.00
j2 ; t3 ;       100.00
j2 ; t4 ;       100.00
j2 ; t5 ;       100.00
j2 ; t6 ;         0.00
j2 ; t7 ;        10.00
j2 ; t8 ;         0.00
j3 ; t1 ;         0.00
j3 ; t2 ;        81.67
j3 ; t3 ;        75.00
j3 ; t4 ;        90.00
j3 ; t5 ;        80.00
j3 ; t6 ;        10.00
j3 ; t7 ;         0.00
j3 ; t8 ;         0.00
