Problemname, Segmentname, Zeitpunkt, genutzte Zusatzkapazitaet 
Test , 1 , 1 , 0.0 
Test , 1 , 2 , 0.0 
Test , 1 , 3 , 0.0 
Test , 1 , 4 , 0.0 
Test , 1 , 5 , 0.0 
Test , 1 , 6 , 0.0 
Test , 1 , 7 , 0.0 
Test , 1 , 8 , 0.0 
Test , 2 , 1 , 90.0 
Test , 2 , 2 , 100.0 
Test , 2 , 3 , 100.0 
Test , 2 , 4 , 100.0 
Test , 2 , 5 , 100.0 
Test , 2 , 6 , 0.0 
Test , 2 , 7 , 10.0 
Test , 2 , 8 , 0.0 
Test , 3 , 1 , 0.0 
Test , 3 , 2 , 95.0 
Test , 3 , 3 , 75.0 
Test , 3 , 4 , 90.0 
Test , 3 , 5 , 80.0 
Test , 3 , 6 , 10.0 
Test , 3 , 7 , 0.0 
Test , 3 , 8 , 0.0 
